COMID,Observation,Prediction,Date
74068275,306.638991462336,333.6734606597747,08/21/2001
74068275,1578.645132206555,1652.3424198229332,05/22/2001
74068275,450.8072876548249,179.62675358413253,08/10/2010
74068275,751.4759834328725,382.3508252509055,10/15/2007
74068275,680.0280161075061,1039.4475428674778,02/04/2003
74068275,341.04168333650887,377.9850003422471,03/14/2006
74068275,1810.1781563143595,1743.1048402556917,04/24/2007
74068275,1785.2202979972353,1462.9709466597706,01/26/2010
74068275,632.6814701675321,1065.387368541793,12/14/1999
74068275,2806.045206106559,1632.463219901896,01/26/1999
74068275,2178.673280653369,4134.600947182917,01/25/2005
74068275,2954.9360591784935,2995.753621985379,03/23/2010
74068275,1186.843659210368,1264.4239839607035,06/17/2008
74068275,325.4307980829253,225.00593233715335,06/13/2006
74068275,6306.457477410906,1869.2637584476615,06/29/2004
74068275,5262.729711297667,6023.201434784452,01/02/2002
74068275,213.90345970485214,298.175319682181,10/01/2002
74068275,1874.0409196611727,1741.6788930789917,11/17/1998
74068275,710.2416904356651,683.8332972301578,10/26/2004
74068275,154.66527015567044,0.001,06/28/2005
74068275,3193.5035505433334,2688.589637345809,05/21/2002
74068275,6868.9139211948495,3742.927246226929,05/06/2008
74068275,153.98014162542313,250.62765886972193,11/22/2010
74068275,297.7324956952725,439.88001122457354,09/23/2003
74068275,2588.275976706296,1128.6799911894923,05/03/2010
74068275,502.68049436107685,690.5002097202378,07/14/2009
74068275,354.8125531405749,143.71510473740636,08/12/2008
74068275,1485.7261382926663,1999.05241130793,05/05/1998
74068275,2856.646296447667,2009.5442891001003,11/16/2004
74068275,8704.049935826333,2736.725511876226,03/03/2003
74068275,558.2336969411335,1102.7971165396739,04/08/2003
74068275,141.91717210211573,332.4035508841407,11/16/1999
74068275,546.8216012728226,682.8662506210821,01/15/2008
74068275,9221.09350658569,7744.328923722147,01/23/2007
74068275,1026.305936351302,729.0356686205341,07/06/2010
74068275,3005.0473566988367,1886.5611785915098,02/22/2005
74068275,3291.499941945018,2568.81231611775,11/05/2002
74068275,3575.4567693796707,1614.3712874335179,04/27/2010
74068275,1342.2185230196628,1444.8190509970882,04/11/2006
74068275,2346.5273538230686,2258.74684139865,12/08/2009
74068275,409.35765954162343,51.08625983147067,08/11/1998
74068275,622.0010165353306,257.02708367586456,08/06/2002
74068275,238.03915327811046,92.10598826775094,09/27/2005
74068275,3654.3677726802416,2195.0667696531746,02/16/1999
74068275,611.3449404634302,742.3926102527039,10/21/1997
74068275,1747.0348111982748,695.076606313567,08/17/2004
74068275,338.5948207465044,385.2102150035935,09/14/2010
74068275,183.2199744498248,480.3799302177067,09/28/1999
74068275,2427.2731187886093,2882.6767674180446,02/09/2010
74068275,299.61653785929957,147.19825881682482,09/26/2000
74068275,752.28345509262,0.001,08/29/2000
74068275,150.481156141901,140.23499785302556,10/26/2010
74068275,2687.25083294214,2714.3746515021194,04/27/1999
74068275,2468.135513890302,3186.9154448214686,12/18/2000
74068275,378.71086321535404,1535.444312627922,11/18/1997
74068275,693.3388645365776,587.5533522654296,02/15/2000
74068275,1848.4468630605552,2083.6117233504774,02/20/2007
74068275,5216.190987269743,2689.687748366734,03/23/1999
74068275,705.2550082943926,818.6783324400312,12/04/2007
74068275,827.8910187705333,1664.5351227993378,06/04/2002
74068275,357.9738603786027,197.21004965783504,11/13/2007
74068275,1129.7586982328212,610.0986727182608,02/12/2008
74068275,747.0031214203627,1014.4989312111575,07/01/2002
74068275,835.7209790585475,969.926873865581,09/01/2008
74068275,224.082334526287,380.76302648490673,10/12/1999
74068275,596.6883526350866,1039.7103721957828,06/10/2003
74068275,4050.2184425030136,1417.4791968165082,10/23/2001
74068275,102.70889604002878,305.2305218755646,11/15/2005
74068275,195.61326692025978,179.68006198467629,10/18/2005
74068275,704.1857580632495,714.4674844735127,01/06/2009
74068275,802.2921286881319,569.1549140065399,01/31/2006
74068275,166.7771524131167,619.9282934555813,10/24/2000
74068275,2697.8945801329683,2044.7292344681919,03/31/2009
74068275,526.7182749029816,401.38080343765614,02/03/2009
74068275,105.82128178761013,0.001,07/11/2006
74068275,443.4422522740497,664.4437500289641,07/17/2001
74068275,132.17872203931256,651.5784925799962,11/30/2010
74068275,5976.671116811805,1058.3035157100094,03/29/2005
74068275,513.8429652129125,1388.522297802614,03/30/2004
74068275,740.5874799325829,1201.4416148031596,04/27/2004
74068275,1429.4485789244063,1401.2555101332837,06/29/1999
74068275,384.05725447199075,29.559262924900395,10/21/2003
74068275,953.2943726940866,884.8339874643716,04/14/2009
74068275,2312.271277563006,2206.1140074972645,08/04/2009
74068275,1236.6369276394253,1425.607291864988,12/19/2006
74068275,1485.7261382926663,943.2771568231838,09/22/1998
74068275,342.9869145779012,71.52950606154627,07/21/1998
74068275,1527.0777658114384,1521.287534836214,12/16/1997
74068275,1342.967222342937,0.001,08/12/2003
74068275,8980.17652277113,1026.712439174371,09/11/2007
74068275,530.9562226957496,477.58267522360256,09/03/2002
74068275,234.99526812472322,938.5816043963132,11/19/2001
74068275,4214.6958032682305,2296.055436531373,09/29/2009
74068275,5574.898661248735,6058.06302722625,04/01/2008
74068275,5333.565857899841,4968.8747537751915,01/29/2001
74068275,353.37378672957857,991.543535361765,11/18/2003
74068275,903.2661550200573,769.567075295723,09/18/2001
74068275,1266.341685371066,1357.6751571589266,12/11/2001
74068275,490.3850273589196,680.0232526761829,01/18/2000
74068275,8537.296775695984,7943.79116573988,10/27/2009
74068275,244.09755492926342,853.9996660549805,12/16/2003
74068275,348.55350945754617,1183.2133641383843,03/27/2007
74068275,4571.1035805236315,2365.27089567628,01/07/2003
74068275,2170.4765361534664,1676.3579593435861,02/24/2004
74068275,2964.3074098023353,1674.1376399432775,03/21/2000
74068275,1000.3325565063424,1224.024202101049,02/07/2011
74068275,163.93390929160523,0.001,08/01/2006
74068275,1275.786448877654,958.995009130158,07/27/2004
74068275,9237.121051979135,5350.498455244699,06/15/2009
74068275,6788.53522064304,1725.0517157425056,05/16/2006
74068275,293.45046865014956,502.2750422949175,05/06/2003
74068275,353.1217801974417,0.001,09/21/2004
74068275,664.4660260754463,661.3978859500639,10/31/2006
74068275,7514.881722130231,3857.549974359572,12/21/1998
74068275,179.84821811543225,0.001,08/30/2005
74068275,687.0749523465347,553.4648367072077,07/27/1999
74068275,1821.923096746381,1893.4238821190665,10/27/1998
74068275,865.7731170244806,378.9510662448738,07/15/2003
74068275,9402.013671875,1410.6372282252996,05/23/2000
74068275,716.694038364818,805.0863014619681,06/08/2010
74068275,296.60692489377834,993.236935197172,05/25/2004
74068275,227.12621967967425,0.001,07/26/2005
74068275,1401.7135000449198,829.5100950672058,01/04/2011
74068275,3756.4007518255967,1095.03881787289,01/27/2004
74068275,212.7534412925961,94.22214263309434,11/04/2008
74068275,2272.2653193930455,2137.6388416203554,06/19/2001
